51, the Ville, Chef Pepper House, Pepper's bedroom
52, the Ville, Chef Pepper House, Orange's bedroom
53, the Ville, Chef Pepper House, bathroom
54, the Ville, Chef Pepper House, kitchen
55, the Ville, Chef Pepper House, living room
56, the Ville, Japanese Snack, cafe
177, the Ville, English Tea, cafe
178, the Ville, Healthy Sandwich, light meal
179, the Ville, Ice Cat, dessert shop
180, the Ville, The Oyster Corner, sea food bar
57, the Ville, Uncle Meow House, bedroom
58, the Ville, Uncle Meow House, bathroom
59, the Ville, Uncle Meow House, kitchen
60, the Ville, Uncle Meow House, living room
61, the Ville, Main Gym, gym
62, the Ville, The Library, library
63, the Ville, Wework Building, office
64, the Ville, Grocery Store, supply store
65, the Ville, Central Park, park
66, the Ville, Meow Sweet Parfait, cafe
191, the Ville, Chai Chai House, bedroom
192, the Ville, Chai Chai House, bathroom
193, the Ville, Chai Chai House, kitchen
194, the Ville, Chai Chai House, living room
195, the Ville, Big Hanbear House, bedroom
196, the Ville, Big Hanbear House, bathroom
197, the Ville, Big Hanbear House, kitchen
198, the Ville, Big Hanbear House, living room
71, the Ville, Ni Ni and Miss Hua House, Ni Ni's bedroom
72, the Ville, Ni Ni and Miss Hua House, Miss Hua's bedroom
73, the Ville, Ni Ni and Miss Hua House, bathroom
74, the Ville, Ni Ni and Miss Hua House, kitchen
75, the Ville, Ni Ni and Miss Hua House, living room
76, the Ville, Dun Dun and Big Strong House, Dun Dun's bedroom
77, the Ville, Dun Dun and Big Strong House, Big Strong's bedroom
78, the Ville, Dun Dun and Big Strong House, bathroom
79, the Ville, Dun Dun and Big Strong House, kitchen
80, the Ville, Dun Dun and Big Strong House, living room
181, the Ville, Mary Mary and Pei Pei House, Mary Mary's bedroom
182, the Ville, Mary Mary and Pei Pei House, Pei Pei's bedroom
183, the Ville, Mary Mary and Pei Pei House, bathroom
184, the Ville, Mary Mary and Pei Pei House, kitchen
185, the Ville, Mary Mary and Pei Pei House, living room
186, the Ville, Rui Rui House, Rui Rui's bedroom
187, the Ville, Rui Rui House, guest bedroom
188, the Ville, Rui Rui House, bathroom
189, the Ville, Rui Rui House, kitchen
190, the Ville, Rui Rui House, living room
141, the Ville, Great Neng Big House, bedroom
142, the Ville, Great Neng Big House, bathroom
143, the Ville, Great Neng Big House, kitchen
144, the Ville, Great Neng Big House, living room
119, the Ville, Great Neng Big House, garden
145, the Ville, Meow Callis Big House, bedroom
146, the Ville, Meow Callis Big House, bathroom
147, the Ville, Meow Callis Big House, kitchen
148, the Ville, Meow Callis Big House, living room
120, the Ville, Meow Callis Big House, garden
67, the Ville, Street Store, street store
68, the Ville, Art Museum, museum
69, the Ville, Shopping Mall, shopping mall
70, the Ville, Music Hall, music hall
149, the Ville, Hotel, lobby
150, the Ville, Hotel, room1
151, the Ville, Hotel, room2
152, the Ville, Hotel, bathroom
153, the Ville, Swimming Pool Breakfest, restaurant
154, the Ville, Swimming Pool, pool
155, the Ville, Swimming Pool, locker room
156, the Ville, Flowing Noodles, restaurant
157, the Ville, Wooden House Bread, restaurant
158, the Ville, Submarine Boat, boat rent room
159, the Ville, Underwater Restaurant, restaurant
160, the Ville, Beach, beach
199, the Ville, Sea, sea