21, the Ville, Chef Pepper House
22, the Ville, Japanese Snack
29, the Ville, Uncle Meow House
30, the Ville, Grocery Store
31, the Ville, Main Gym
32, the Ville, The Library
33, the Ville, Wework Building
34, the Ville, Central Park
35, the Ville, Meow Sweet Parfait
21, the Ville, Chef Pepper House
22, the Ville, Japanese Snack
23, the Ville, English Tea
24, the Ville, Healthy Sandwich
25, the Ville, Ice Cat
26, the Ville, The Oyster Corner
27, the Ville, Chai Chai House
28, the Ville, Big Hanbear House
29, the Ville, Uncle Meow House
30, the Ville, Grocery Store
31, the Ville, Main Gym
32, the Ville, The Library
33, the Ville, Wework Building
34, the Ville, Central Park
35, the Ville, Meow Sweet Parfait
36, the Ville, Ni Ni and Miss Hua House
37, the Ville, Dun Dun and Big Strong House
38, the Ville, Mary Mary and Pei Pei House
39, the Ville, Rui Rui House
6, the Ville, Great Neng Big House
7, the Ville, Meow Callis Big House
40, the Ville, Street Store
41, the Ville, Art Museum
42, the Ville, Shopping Mall
43, the Ville, Music Hall
44, the Ville, Hotel
45, the Ville, Swimming Pool Breakfest
46, the Ville, Swimming Pool
47, the Ville, Flowing Noodles
48, the Ville, Wooden House Bread
49, the Ville, Submarine Boat
50, the Ville, Underwater Restaurant
4, the Ville, Sea
5, the Ville, Beach