161, the Ville, Chef Pepper House, Pepper's room, sp-A
162, the Ville, Chef Pepper House, Orange's room, sp-A
163, the Ville, Uncle Meow House, main room, sp-A
164, the Ville, Ni Ni and Miss Hua House, Ni Ni's bedroom, sp-A
165, the Ville, Ni Ni and Miss Hua House, Miss Hua's bedroom, sp-A
166, the Ville, Dun Dun and Big Strong House, Dun Dun's bedroom, sp-A
167, the Ville, Dun Dun and Big Strong House, Big Strong's bedroom, sp-A
168, the Ville, Mary Mary and Pei Pei House, Mary Mary's bedroom, sp-A
169, the Ville, Mary Mary and Pei Pei House, Pei Pei's bedroom, sp-A
170, the Ville, Rui Rui House, Rui Rui's bedroom, sp-A
171, the Ville, Chai Chai House, main room, sp-A
172, the Ville, Big Hanbear House, main room, sp-A
173, the Ville, Great Neng Big House, main room, sp-A
174, the Ville, Hotel, room1, sp-A
175, the Ville, Hotel, room2, sp-A
176, the Ville, Miao Kalis Big House, main room, sp-A